,1,1,2,3,4,5
,nan,2.0,nan,nan,nan,nan
,nan,3.0,nan,nan,nan,nan
,nan,4.0,nan,nan,nan,nan
,nan,5.0,nan,nan,nan,nan
,,,,,,
0,0.588449670354,0.269539550585,0.529459964492,0.460815345613,0.339389633364,0.27953239814
1,0.144100692324,0.101981923248,0.181841480804,0.208244419904,0.149734670261,0.116604982196
2,0.0741555539912,0.0887016243163,0.107794439658,0.0962467917155,0.0958910134336,0.0980576861719
3,0.0310219250482,0.0642186478528,0.0347375010893,0.0351204310252,0.0893939276299,0.0521134037674
4,0.0259123556281,0.055180489074,0.0216233861115,0.0225487171044,0.0738547425522,0.0461163925472
5,0.0199846044724,0.0411821455146,0.0173212873402,0.0156460178147,0.0426977301917,0.0355695482639
6,0.0182258951809,0.034247778393,0.0125843925133,0.0144128568187,0.0288875712486,0.0335839822407
7,0.0135169843904,0.0316670087131,0.0102529943611,0.0124605177144,0.0218033726307,0.0289373124357
8,0.0111528784569,0.026420788789,0.00942969598297,0.0112517893981,0.0152614418613,0.0249997099723
9,0.0101907567132,0.021318708946,0.00900781923693,0.00972409309133,0.0145434986867,0.0224145391764
